,회사명,모집내용,학력,연봉,주소,근무형태,경력,지원시작일,지원마감일,위도,경도
53,(주)팔마,(주)팔마 네트워크 관리 & 서버관리자 모집,대졸(2~3년),2800만원 ~ 3000만원,전라북도 완주군 봉동읍 봉동로 678-74,주6일근무,관계없음,2022-06-10,2022-07-31,35.973461046516, 127.128277728034
54,(주)한울종합건설,건설업 erp등록 사원모집,학력무관,200만원,충청북도 청주시 상당구 용정로38번길 16,주5일근무,관계없음,2022-06-09,2022-08-08,36.6290948036689, 127.517653433242
55,주식회사 마크베이스,프론트엔드 개발자 (경력) 모집,대졸(4년),3100만원 ~ 7000만원,서울특별시 강남구 테헤란로20길 10,주5일근무,경력,2022-06-09,2022-07-31,37.4990862800943, 127.034141792509
56,주식회사 마크베이스,데이터베이스 소프트웨어 경력직 개발자 모집(C /...,대졸(4년),3200만원 ~ 8000만원,서울특별시 강남구 테헤란로20길 10,주5일근무,경력,2022-06-09,2022-07-31,37.4990862800943, 127.034141792509
57,주식회사 마크베이스,(주)마크베이스 API 클라우드 서비스(SaaS)...,학력무관,4000만원 ~ 8000만원,서울특별시 강남구 테헤란로20길 10,주5일근무,경력,2022-06-09,2022-07-31,37.4990862800943, 127.034141792509
58,다인랩,백엔드 개발 직무 담당자 구인,대졸(4년),3000만원 ~ 5000만원,대전광역시 서구 청사로 148,주5일근무,경력,2022-06-08,2022-07-15,36.359444439932, 127.380203428402
59,(주)한국정보통계,웹개발자,대졸(2~3년),2400만원 ~ 3600만원,전라북도 전주시 완산구 아중로 33,주5일근무,경력,2022-06-08,2022-08-07,35.823646619549, 127.153714689539
60,주식회사 인슈로보,주니어 백앤드 개발자 모집(서울or부산지역 근무),학력무관,3000만원 ~ 4000만원,서울특별시 송파구 중대로 135,주5일근무,관계없음,2022-06-08,2022-08-06,37.4950959654807, 127.122426977874
61,씨엔에스솔루션컴퍼니,가상화폐 거래소/NFT 블록체인 개발자 모집,대졸(2~3년),200만원 ~ 250만원,서울특별시 금천구 가산디지털1로 168,주5일근무,관계없음,2022-06-08,2022-08-02,37.479966429878, 126.88263620024
62,주식회사 로고스데이터,Tableau 컨설턴트 (시각화 개발자) - 신입...,학력무관,3000만원 ~ 3500만원,경기도 성남시 분당구 판교로 286,주5일근무,신입,2022-06-07,2022-07-31,37.402715463726, 127.105964814842
63,코드테크,SW개발자(웹/빅데이터/인공지능)채용,학력무관,3000만원,충청북도 청주시 청원구 오창읍 중심상업로 32-13,주5일근무,관계없음,2022-06-07,2022-08-02,36.7140498123745, 127.431102324448
64,주식회사 퓨리움,"주식회사 퓨리움 - 연구기획,SW개발,디자인직원 ...",학력무관,2500만원 ~ 4000만원,경기도 용인시 처인구 양지면 한터로 339,주5일근무,관계없음,2022-06-02,2022-08-01,37.2578281885711, 127.243227567868
65,(주)다원에스아이,응용소프트웨어 및 시스템엔지니어 (웹/JAVA기반...,학력무관,2800만원 ~ 3200만원,서울특별시 마포구 월드컵북로6길 52,주5일근무,관계없음,2022-05-31,2022-07-30,37.5590224585891, 126.921235281427
66,더블유피솔루션즈(주),"2022년 JAVA,WEB 신입,경력 직원 모집",대졸(4년),3000만원 ~ 3600만원,서울특별시 구로구 디지털로33길 27,주5일근무,신입,2022-05-31,2022-07-12,37.4860566025335, 126.894669265147
