,회사명,모집내용,학력,연봉,주소,근무형태,경력,지원시작일,지원마감일,위도,경도
10,(주)에프텍,제품 개발 및 설계 (AUTO CAD 사용),학력무관,300만원,경기도 군포시 산본로85번길 11,주5일근무,경력,2022-07-05,2022-07-20,37.3537312484956, 126.957422229723
11,(주)에스에이치아이앤씨,[금천구/가산] 응용프로그래머 모집C C++ MF...,학력무관,3500만원 ~ 6000만원,서울특별시 금천구 디지털로9길 32,주5일근무,경력,2022-07-05,2022-09-04,37.4795130993704, 126.887511773421
12,(주)명진아이앤씨,시스템 구축 및 용역 PM/유지보수 직원 구함,대졸(2~3년),2300만원 ~ 3000만원,부산광역시 동구 중앙대로236번길 3-4,주5일근무,관계없음,2022-07-05,2022-09-03,35.1180568683281, 129.04218656028
13,주식회사 제이엔에이치,프로그래머(CAD CAM),고졸,250만원 ~ 400만원,경기도 화성시 팔탄면 서해로1313번길 2-5,주5일근무,관계없음,2022-07-04,2022-07-31,37.1779083926247, 126.883796738318
14,(주)파오스파트너스,"(주)파오스파트너스 공채 채용-DB 분석, DB ...",대졸(2~3년),2600만원 ~ 5000만원,서울특별시 용산구 한남대로21길 17,주5일근무,경력,2022-07-04,2022-07-19,37.5341520566604, 127.006517610304
15,엔셀주식회사,삼성전자 평택캠퍼스 MES(자동화시스템/서버/DB...,대졸(2~3년),3250만원 ~ 3300만원,경기도 평택시 삼성로 144,주5일근무,신입,2022-07-04,2022-07-24,37.0377525701171, 127.051694858421
16,엔셀주식회사,삼성전자 평택캠퍼스 MES(자동화시스템/서버/DB...,대졸(4년),3000만원 ~ 3200만원,경기도 평택시 삼성로 144,주5일근무,관계없음,2022-07-04,2022-07-24,37.0377525701171, 127.051694858421
17,이브이패스,[데이터분석] Data 분석 기획 및 (AI)인공...,대졸(4년),2900만원,제주특별자치도 제주시 첨단로 213-3,주5일근무,관계없음,2022-07-01,2022-07-31,33.4537493860569, 126.572342488555
18,(주)지스,GIS DB 및 공간정보 DB구축,고졸,2600만원,서울특별시 구로구 부광로 88,주5일근무,관계없음,2022-07-01,2022-07-15,37.4771830849703, 126.81685400133
19,(주)에스에이치알,IT개발 경력직 채용(C#.NET),대졸(2~3년),300만원 ~ 350만원,서울특별시 영등포구 영신로 220,주5일근무,경력,2022-07-01,2022-08-27,37.5268034272278, 126.904261652136
20,(주)랩큐,"(신입,경력)빅데이터, 인공지능 및 웹/앱 개발자",대졸(4년),200만원 ~ 600만원,서울특별시 영등포구 양평로21길 26,주5일근무,관계없음,2022-07-01,2022-08-31,37.5362922285546, 126.891841433535
21,스마트테크,캐드원(레이져 CAD)모집합니다,학력무관,300만원,대전광역시 대덕구 대화로32번길 455-7,주5일근무,경력,2022-07-01,2022-07-29,36.3723424355153, 127.400460176154
22,주식회사 에픽,프로그래머(NCT판금설비) 모집,학력무관,350만원,경기도 김포시 대곶면 율생중앙로52번길 100-62,주5일근무,경력,2022-07-01,2022-07-18,37.6577577820016, 126.588498184443
23,(주)라젠,[광주] Django 백엔드 개발자 채용,대졸(2~3년),200만원 ~ 400만원,광주광역시 북구 자미로6번길 26-1,주5일근무,관계없음,2022-07-01,2022-08-31,35.1657603343228, 126.905270375141
24,(주)대원에스이,[수입차부품] 영업관리,학력무관,230만원,경상남도 양산시 하북면 용연로 2,주5일근무,관계없음,2022-06-29,2022-08-28,35.4393526367586, 129.072534607711
