"시점",전체,전체,전체,전체,공공,공공,공공,공공,금융,금융,금융,금융,제조·건설,제조·건설,제조·건설,제조·건설,유통,유통,유통,유통,서비스,서비스,서비스,서비스,의료,의료,의료,의료,통신·미디어,통신·미디어,통신·미디어,통신·미디어,교육,교육,교육,교육,기타,기타,기타,기타
"시점",전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업
"2020",200024,25133,76999,97891,34256,6333,15604,12319,22942,3041,10441,9460,24361,3851,12436,8075,17351,1310,5657,10383,30263,4189,7867,18207,2385,943,997,444,40439,3446,16132,20861,9200,506,3896,4798,18826,1513,3969,13344
"2021 e)",230972,30566,86335,114071,39001,7388,17808,13805,26281,3715,11556,11010,28592,4859,13831,9902,19999,1500,6114,12385,34855,4736,8646,21472,3008,1033,1190,785,46024,4634,18164,23226,11493,897,4754,5842,21719,1803,4273,15643
