회사명,모집내용,학력,연봉,주소,근무형태,경력,지원시작일,지원마감일
(주)에스에이치아이앤씨,[금천구/가산] 응용프로그래머 모집C C++ MF...,학력무관,3500만원 ~ 6000만원,서울특별시 금천구 디지털로9길 32,주5일근무,경력,22-07-05,채용시까지  22-09-04
(주)명진아이앤씨,시스템 구축 및 용역 PM/유지보수 직원 구함,대졸(2~3년),2300만원 ~ 3000만원,부산광역시 동구 중앙대로236번길 3-4,주5일근무,관계없음,22-07-05,채용시까지  22-09-03
주식회사 제이엔에이치,프로그래머(CAD CAM),고졸,250만원 ~ 400만원,경기도 화성시 팔탄면 서해로1313번길 2-5,주5일근무,관계없음,22-07-04,22-07-31
(주)파오스파트너스,"(주)파오스파트너스 공채 채용-DB 분석, DB ...",대졸(2~3년),2600만원 ~ 5000만원,서울특별시 용산구 한남대로21길 17,주5일근무,경력,22-07-04,22-07-19
엔셀주식회사,삼성전자 평택캠퍼스 MES(자동화시스템/서버/DB...,대졸(2~3년),3250만원 ~ 3300만원,경기도 평택시 삼성로 144,주5일근무,신입,22-07-04,22-07-24
엔셀주식회사,삼성전자 평택캠퍼스 MES(자동화시스템/서버/DB...,대졸(4년),3000만원 ~ 3200만원,경기도 평택시 삼성로 144,주5일근무,관계없음,22-07-04,22-07-24
이브이패스,[데이터분석] Data 분석 기획 및 (AI)인공...,대졸(4년),2900만원,제주특별자치도 제주시 첨단로 213-3,주5일근무,관계없음,22-07-01,22-07-31
(주)지스,GIS DB 및 공간정보 DB구축,고졸,2600만원,서울특별시 구로구 부광로 88,주5일근무,관계없음,22-07-01,22-07-15
(주)에스에이치알,IT개발 경력직 채용(C#.NET),대졸(2~3년),300만원 ~ 350만원,서울특별시 영등포구 영신로 220,주5일근무,경력,22-07-01,채용시까지  22-08-27
(주)랩큐,"(신입,경력)빅데이터, 인공지능 및 웹/앱 개발자",대졸(4년),200만원 ~ 600만원,서울특별시 영등포구 양평로21길 26,주5일근무,관계없음,22-07-01,채용시까지  22-08-31
스마트테크,캐드원(레이져 CAD)모집합니다,학력무관,300만원,대전광역시 대덕구 대화로32번길 455-7,주5일근무,경력,22-07-01,22-07-29
주식회사 에픽,프로그래머(NCT판금설비) 모집,학력무관,350만원,경기도 김포시 대곶면 율생중앙로52번길 100-62,주5일근무,경력,22-07-01,채용시까지  22-07-18
(주)라젠,[광주] Django 백엔드 개발자 채용,대졸(2~3년),200만원 ~ 400만원,광주광역시 북구 자미로6번길 26-1,주5일근무,관계없음,22-07-01,22-08-31
(주)대원에스이,[수입차부품] 영업관리,학력무관,230만원,경상남도 양산시 하북면 용연로 2,주5일근무,관계없음,22-06-29,채용시까지  22-08-28
동원금속(주)아산공장,★전산관리 사무원 모집★,대졸(2~3년),3800만원,충청남도 아산시 음봉면 연암율금로 288-7,주5일근무,관계없음,22-06-29,채용시까지  22-07-31
(주)일광메탈,기업부설연구소 사무원 모집 (1명),대졸(4년),3700만원 ~ 4000만원,경상남도 창원시 진해구 남의로63번길 12,주5일근무,경력,22-06-28,22-07-15
(주) 애크미랩,애크미랩에서 활발한 데이터 엔지니어&분석가를 찾습...,대졸(2~3년),3000만원,서울특별시 강남구 테헤란로 419,주5일근무,관계없음,22-06-28,채용시까지  22-07-12
(주)우진파이어텍,NCT 설계,학력무관,3600만원 ~ 4300만원,경기도 시흥시 희망공원로 77,주5일근무,경력,22-06-28,채용시까지  22-07-12
영천제일직업전문학교,빅데이터 강사 구합니다.,학력무관,30000원 ~ 40000원,경상북도 영천시 완산로 73,주5일근무,관계없음,22-06-27,채용시까지  22-08-26
주식회사스타시큐리티,정부과제수행 경력직 모집,학력무관,2500만원 ~ 3000만원,대전광역시 동구 우암로255번길 7,주5일근무,경력,22-06-27,채용시까지  22-07-17
나래정보기술,"DB엔지니어, DB컨설턴트, DBA에 도전하시는 ...",학력무관,2700만원,경기도 남양주시 다산중앙로19번길 21,주5일근무,관계없음,22-06-27,채용시까지  22-08-26
(주)키밸류데이타,"R&D 기획, 평가 관련 사회과학연구원 모집",대졸(4년),200만원,대전광역시 유성구 유성대로 875,주5일근무,관계없음,22-06-27,채용시까지  22-07-29
(주)프리모,연구소 직원 모집(청년일자리지원사업),대졸(4년),3200만원 ~ 3200만원,광주광역시 광산구 진곡산단1번로 30,주5일근무,경력,22-06-27,22-07-13
주식회사 파인비치,파인비치골프링크스 홍보마케팅담당자 모집,학력무관,3000만원 ~ 3100만원,전라남도 해남군 화원면 시아로 224,주5일근무,관계없음,22-06-27,22-07-11
(주)씨앤씨솔루션,기계 설계 경력직 채용,대졸(4년),4000만원 ~ 5000만원,부산광역시 강서구 녹산산업중로 62-6,주5일근무,경력,22-06-24,22-07-08
정유니브주식회사,"빅데이터, 인공지능(AI) 프로그래밍 / 강사 채...",대졸(4년),2400만원 ~ 3000만원,부산광역시 남구 수영로 312,주5일근무,관계없음,22-06-24,채용시까지  22-08-23
정유니브주식회사,"하반기 WEB개발, 데이터처리(AI 부문) 개발자...",대졸(4년),2400만원 ~ 5000만원,부산광역시 남구 수영로 312,주5일근무,관계없음,22-06-24,채용시까지  22-08-23
아레파,아레파 함께 일할 직원 채용,고졸,195만원,서울특별시 서초구 사임당로 32,,신입,22-06-23,채용시까지  22-08-21
(재)한국품질재단,2022년 상반기 신입 및 경력 공개채용,학력무관,200만원 ~ 300만원,서울특별시 금천구 가산디지털1로 168,주5일근무,관계없음,22-06-23,채용시까지  22-08-20
아주대학교산학협력단,아주대학교 산학협력단 국책연구과제 연구원 모집,대졸(2~3년),200만원 ~ 250만원,경기도 수원시 영통구 월드컵로 206,주5일근무,관계없음,22-06-22,채용시까지  22-08-20
(주)아이티코리아,[기술연구소] 데이터 관리 및 기술지원 인력 채용,학력무관,2500만원,대전광역시 유성구 테크노2로 187,주5일근무,관계없음,22-06-22,채용시까지  22-08-19
비딩이(주),사무직 엑셀 데이터 수집 가공업무,고졸,10000원 ~ 11000원,경기도 하남시 미사강변동로 72,,관계없음,22-06-21,채용시까지  22-08-16
주식회사클라인,IMC그룹 탕가로이 사무보조원 직원채용,학력무관,2800만원 ~ 3300만원,서울특별시 금천구 벚꽃로 244,주5일근무,관계없음,22-06-20,채용시까지  22-08-19
동양하이테크산업(주),"참신한 IT, AI관련 전문인력을 모집합니다.",대졸(4년),2800만원,광주광역시 서구 동천로10번길 36-8,주5일근무,관계없음,22-06-17,채용시까지  22-08-16
에이엠스퀘어 주식회사,"에이엠스퀘어(주) 인공지능 개발자(CV, 이미지 ...",대졸(2~3년),300만원 ~ 700만원,경상북도 포항시 남구 청암로 87,주5일근무,관계없음,22-06-17,채용시까지  22-08-16
(주)듀플렉스,데이터베이스구축 프로젝트 관리자 및 영업관리자 모...,학력무관,2500만원 ~ 3500만원,경기도 수원시 권선구 장다리로 74,주5일근무,관계없음,22-06-17,채용시까지  22-08-15
주식회사 세움비드,공공기관 전자입찰금액 분석팀 신입 직원 구인,대졸(2~3년),2500만원,서울특별시 성동구 아차산로 103,주5일근무,신입,22-06-16,채용시까지  22-08-15
한성에스앤아이(주),"국방관련 웹 개발자(엔지니어, 프로그래머, 웹디자...",대졸(2~3년),3150만원,경상남도 창원시 마산회원구 봉암북7길 21,주5일근무,관계없음,22-06-16,채용시까지  22-07-18
(주)초이스테크놀로지,안드로이드 개발 경력자를 모십니다.,대졸(2~3년),3000만원 ~ 4000만원,인천광역시 연수구 송도과학로 32,주5일근무,경력,22-06-16,22-07-31
(주)인스프로테크,서버(S/E) 엔지니어 모집,대졸(2~3년),3500만원,서울특별시 마포구 큰우물로 75,주5일근무,관계없음,22-06-14,22-07-08
(주)위드인포텍,[신입]프로그램 개발자모집 (응용프로그래머/DB ...,대졸(2~3년),2500만원,대구광역시 달서구 달서대로 559,주5일근무,신입,22-06-13,채용시까지  22-08-12
티쓰리큐(주),"인공지능, 빅데이터모델 개발자 모집(신입,경력3년...",대졸(2~3년),2800만원 ~ 3200만원,광주광역시 서구 경열로17번길 12,주5일근무,경력,22-06-13,22-08-12
(주)팔마,(주)팔마 네트워크 관리 & 서버관리자 모집,대졸(2~3년),2800만원 ~ 3000만원,전라북도 완주군 봉동읍 봉동로 678-74,주6일근무,관계없음,22-06-10,22-07-31
(주)한울종합건설,건설업 erp등록 사원모집,학력무관,200만원,충청북도 청주시 상당구 용정로38번길 16,주5일근무,관계없음,22-06-09,채용시까지  22-08-08
주식회사 마크베이스,프론트엔드 개발자 (경력) 모집,대졸(4년),3100만원 ~ 7000만원,서울특별시 강남구 테헤란로20길 10,주5일근무,경력,22-06-09,22-07-31
주식회사 마크베이스,데이터베이스 소프트웨어 경력직 개발자 모집(C /...,대졸(4년),3200만원 ~ 8000만원,서울특별시 강남구 테헤란로20길 10,주5일근무,경력,22-06-09,22-07-31
주식회사 마크베이스,(주)마크베이스 API 클라우드 서비스(SaaS)...,학력무관,4000만원 ~ 8000만원,서울특별시 강남구 테헤란로20길 10,주5일근무,경력,22-06-09,22-07-31
다인랩,백엔드 개발 직무 담당자 구인,대졸(4년),3000만원 ~ 5000만원,대전광역시 서구 청사로 148,주5일근무,경력,22-06-08,22-07-15
(주)한국정보통계,웹개발자,대졸(2~3년),2400만원 ~ 3600만원,전라북도 전주시 완산구 아중로 33,주5일근무,경력,22-06-08,채용시까지  22-08-07
주식회사 인슈로보,주니어 백앤드 개발자 모집(서울or부산지역 근무),학력무관,3000만원 ~ 4000만원,서울특별시 송파구 중대로 135,주5일근무,관계없음,22-06-08,채용시까지  22-08-06
씨엔에스솔루션컴퍼니,가상화폐 거래소/NFT 블록체인 개발자 모집,대졸(2~3년),200만원 ~ 250만원,서울특별시 금천구 가산디지털1로 168,주5일근무,관계없음,22-06-08,채용시까지  22-08-02
주식회사 로고스데이터,Tableau 컨설턴트 (시각화 개발자) - 신입...,학력무관,3000만원 ~ 3500만원,경기도 성남시 분당구 판교로 286,주5일근무,신입,22-06-07,채용시까지  22-07-31
코드테크,SW개발자(웹/빅데이터/인공지능)채용,학력무관,3000만원,충청북도 청주시 청원구 오창읍 중심상업로 32-13,주5일근무,관계없음,22-06-07,채용시까지  22-08-02
주식회사 퓨리움,"주식회사 퓨리움 - 연구기획,SW개발,디자인직원 ...",학력무관,2500만원 ~ 4000만원,경기도 용인시 처인구 양지면 한터로 339,주5일근무,관계없음,22-06-02,22-08-01
(주)다원에스아이,응용소프트웨어 및 시스템엔지니어 (웹/JAVA기반...,학력무관,2800만원 ~ 3200만원,서울특별시 마포구 월드컵북로6길 52,주5일근무,관계없음,22-05-31,채용시까지  22-07-30
더블유피솔루션즈(주),"2022년 JAVA,WEB 신입,경력 직원 모집",대졸(4년),3000만원 ~ 3600만원,서울특별시 구로구 디지털로33길 27,주5일근무,신입,22-05-31,채용시까지  22-07-12
삼우플랜트(주),송전철탑 3D설계 신입 / 경력자 채용  [ 정규...,대졸(2~3년),3000만원 ~ 3500만원,충청북도 음성군 원남면 원남산단로 194,주5일근무,신입,22-05-31,채용시까지  22-07-26
(주)솔루텍시스템,서버운영관리자 구인,대졸(2~3년),2300만원,서울특별시 영등포구 영신로 220,주5일근무,경력,22-05-30,채용시까지  22-07-27
주식회사 오디너리크파트너스,해외 온라인 마켓 운영관리 채용(AMD/MD),대졸(2~3년),2600만원,서울특별시 강남구 테헤란로 415,주5일근무,관계없음,22-05-30,채용시까지  22-07-29
솔브케이주식회사,GIS DB구축 인재채용(경력직),대졸(2~3년),2700만원,대전광역시 서구 둔산중로 50,주5일근무,경력,22-05-30,채용시까지  22-07-29
(주)씨큐하이,금융기관 CRM / Data Mart 시스템 운영...,대졸(2~3년),3000만원 ~ 5000만원,서울특별시 금천구 디지털로9길 32,주5일근무,경력,22-05-30,채용시까지  22-07-29
(주)케이스랩,(주)케이스랩 하반기 자율주행 SW 엔지니어 신입...,대졸(4년),200만원 ~ 300만원,광주광역시 북구 첨단과기로208번길 6,주5일근무,신입,22-05-30,채용시까지  22-07-26
바이트댄스,[TikTok / 틱톡] Content quali...,대졸(4년),3600만원 ~ 5000만원,서울특별시 강남구 테헤란로 518,주5일근무,관계없음,22-05-26,채용시까지  22-07-25
바이트댄스,[TikTok / 틱톡] Quality Analy...,대졸(4년),3600만원 ~ 5000만원,서울특별시 강남구 테헤란로 518,주5일근무,관계없음,22-05-26,채용시까지  22-07-25
(주)아이티투게더,JAVA프로그래밍전문가/웹프로그램/응용프로그램 개...,학력무관,2900만원,대전광역시 유성구 온천로 59,주5일근무,관계없음,22-05-26,채용시까지  22-07-25
(주)한솥,(주)한솥 디지털 기획 운영팀 IT담당 경력사원 ...,학력무관,3500만원 ~ 4000만원,서울특별시 강남구 강남대로 318,주5일근무,관계없음,22-05-25,채용시까지  22-07-24
나이스지니데이타,[NICE 지니데이타] 빅데이터분석 컨설팅 신입직...,대졸(2~3년),3500만원 ~ 3800만원,서울특별시 영등포구 은행로 30,주5일근무,신입,22-05-25,채용시까지  22-07-22
나이스지니데이타,[NICE 지니데이타] 빅데이터분석 컨설팅 경력직...,대졸(4년),3800만원 ~ 4200만원,서울특별시 영등포구 은행로 30,주5일근무,경력,22-05-25,채용시까지  22-07-22
(주)에스이랜드,B2B 도매사이트 인터넷쇼핑몰 제작 기획자 프로그...,학력무관,200만원,서울특별시 은평구 진흥로1길 48,주5일근무,관계없음,22-05-23,22-07-22
(주)지오비전,데이터 분석 및 빅데이터 기반 딥러닝 경력/석사 ...,대졸(4년),3500만원,강원도 춘천시 강원대학길 1,주5일근무,경력,22-05-23,22-07-18
브래키츠,정보시스템 운영자,학력무관,2800만원 ~ 6000만원,서울특별시 영등포구 국제금융로 20,주5일근무,경력,22-05-23,채용시까지  22-07-20
브래키츠,데이터 분석 및 시각화,학력무관,2800만원 ~ 4500만원,서울특별시 영등포구 국제금융로 20,주5일근무,경력,22-05-23,채용시까지  22-07-20
주식회사이프커뮤니티,웹프로그래머 신입 및 경력직 채용,대졸(4년),3000만원,서울특별시 성동구 아차산로17길 49,주5일근무,관계없음,22-05-20,22-07-11
에코랜드(주),코딩(스마트관련시설),학력무관,300만원 ~ 300만원,경기도 평택시 청북면 오금길 30,주5일근무,경력,22-05-20,채용시까지  22-07-19
주식회사넷브리지,"[주식회사넷브리지] 전산시스템, 신입,경력  IT...",학력무관,2500만원 ~ 4000만원,서울특별시 서초구 신반포로45길 80,주5일근무,관계없음,22-05-18,채용시까지  22-07-16
(주)제이엔이웍스,백엔드 개발 연구원 모집 합니다.,대졸(2~3년),2800만원 ~ 3000만원,경상남도 창원시 마산회원구 봉암북7길 21,주5일근무,관계없음,22-05-18,22-07-15
(주)엘에스엠케이,백엔드 개발자 채용,학력무관,200만원,서울특별시 송파구 법원로 128,주5일근무,관계없음,22-05-17,채용시까지  22-07-16
제이엔이시스텍(주),백엔드 개발 연구원 모집 합니다.,대졸(2~3년),2800만원 ~ 3000만원,서울특별시 서초구 서초대로34길 31,주5일근무,관계없음,22-05-17,채용시까지  22-07-16
신영정밀(주),판금 프로그램 전개/2D/3D/Auto CAD 경...,학력무관,3500만원 ~ 4000만원,충청북도 청주시 흥덕구 강내면 다락태성길 96,주5일근무,신입,22-05-16,채용시까지  22-07-08
(주)디씨엔,반도체장비 전기·전자·제어(PLC외) 직원 모집(...,학력무관,220만원,대전광역시 유성구 테크노2로 13-19,주5일근무,관계없음,22-05-12,채용시까지  22-07-11
(주)랭킹피쉬,앱 서비스 운영,학력무관,2400만원 ~ 2600만원,서울특별시 성동구 성수일로8길 59,주5일근무,관계없음,22-05-10,채용시까지  22-07-09
(주)디에스케이,"3D 설계(기계:솔리드,인벤터) 모집의 건",학력무관,3000만원,경기도 시흥시 마유로42번길 71,주5일근무,경력,22-05-09,채용시까지  22-07-08
유한회사한별,기록물 정보화 전담인력 채용(영암군 청년 디지털 ...,학력무관,200만원 ~ 200만원,전라남도 영암군 삼호읍 나불로 133,주5일근무,관계없음,22-05-09,채용시까지  22-07-08
주식회사엠테스,임베디드 프로그래머 모집,대졸(4년),3000만원 ~ 4000만원,경상남도 창원시 의창구 창원대로18번길 46,주5일근무,관계없음,22-05-09,채용시까지  22-07-08
사회정보연구원,(연신내 / 사회정보연구원) 연구·일반 기획 정규...,대졸(4년),200만원 ~ 210만원,서울특별시 은평구 연서로26길 8,주5일근무,관계없음,22-05-09,채용시까지  22-07-08
주식회사인포젠,"ERP, 경영정보시스템 개발자를 모십니다.(경력)",대졸(2~3년),192만원,경상북도 예천군 호명면 행복로 35,주5일근무,경력,22-05-09,채용시까지  22-07-08
주식회사 에이오디컨설팅,데이터 컨설팅 신입 및 경력 직원을 채용합니다.,대졸(4년),3000만원 ~ 5000만원,서울특별시 강서구 마곡중앙로 161-8,주5일근무,관계없음,22-07-06,22-08-31
(주)웨슬리퀘스트,2022 (주)웨슬리퀘스트 데이터 분석 경력직 및...,대졸(4년),200만원 ~ 300만원,서울특별시 서대문구 충정로 53,주5일근무,관계없음,22-07-05,22-07-22
(주)초원지역전략연구소,농어촌 지역개발 컨설팅/ 관광 전략기획 연구원 채...,대졸(4년),200만원,경기도 안양시 동안구 벌말로 126,주5일근무,관계없음,22-07-05,22-07-20
(주)파오스파트너스,"(주)파오스파트너스 공채 채용-DB 분석, DB ...",대졸(2~3년),2600만원 ~ 5000만원,서울특별시 용산구 한남대로21길 17,주5일근무,경력,22-07-04,22-07-19
이브이패스,[데이터분석] Data 분석 기획 및 (AI)인공...,대졸(4년),2900만원,제주특별자치도 제주시 첨단로 213-3,주5일근무,관계없음,22-07-01,22-07-31
(주)랩큐,"(신입,경력)빅데이터, 인공지능 및 웹/앱 개발자",대졸(4년),200만원 ~ 600만원,서울특별시 영등포구 양평로21길 26,주5일근무,관계없음,22-07-01,채용시까지  22-08-31
(주)대원에스이,[수입차부품] 영업관리,학력무관,230만원,경상남도 양산시 하북면 용연로 2,주5일근무,관계없음,22-06-29,채용시까지  22-08-28
(주) 애크미랩,애크미랩에서 활발한 데이터 엔지니어&분석가를 찾습...,대졸(2~3년),3000만원,서울특별시 강남구 테헤란로 419,주5일근무,관계없음,22-06-28,채용시까지  22-07-12
영천제일직업전문학교,빅데이터 강사 구합니다.,학력무관,30000원 ~ 40000원,경상북도 영천시 완산로 73,주5일근무,관계없음,22-06-27,채용시까지  22-08-26
(주)키밸류데이타,"R&D 기획, 평가 관련 사회과학연구원 모집",대졸(4년),200만원,대전광역시 유성구 유성대로 875,주5일근무,관계없음,22-06-27,채용시까지  22-07-29
주식회사 파인비치,파인비치골프링크스 홍보마케팅담당자 모집,학력무관,3000만원 ~ 3100만원,전라남도 해남군 화원면 시아로 224,주5일근무,관계없음,22-06-27,22-07-11
(재)한국품질재단,2022년 상반기 신입 및 경력 공개채용,학력무관,200만원 ~ 300만원,서울특별시 금천구 가산디지털1로 168,주5일근무,관계없음,22-06-23,채용시까지  22-08-20
에이엠스퀘어 주식회사,"에이엠스퀘어(주) 인공지능 개발자(CV, 이미지 ...",대졸(2~3년),300만원 ~ 700만원,경상북도 포항시 남구 청암로 87,주5일근무,관계없음,22-06-17,채용시까지  22-08-16
주식회사 세움비드,공공기관 전자입찰금액 분석팀 신입 직원 구인,대졸(2~3년),2500만원,서울특별시 성동구 아차산로 103,주5일근무,신입,22-06-16,채용시까지  22-08-15
티쓰리큐(주),"인공지능, 빅데이터모델 개발자 모집(신입,경력3년...",대졸(2~3년),2800만원 ~ 3200만원,광주광역시 서구 경열로17번길 12,주5일근무,경력,22-06-13,22-08-12
주식회사 마크베이스,(주)마크베이스 API 클라우드 서비스(SaaS)...,학력무관,4000만원 ~ 8000만원,서울특별시 강남구 테헤란로20길 10,주5일근무,경력,22-06-09,22-07-31
주식회사 로고스데이터,Tableau 컨설턴트 (시각화 개발자) - 신입...,학력무관,3000만원 ~ 3500만원,경기도 성남시 분당구 판교로 286,주5일근무,신입,22-06-07,채용시까지  22-07-31
코드테크,SW개발자(웹/빅데이터/인공지능)채용,학력무관,3000만원,충청북도 청주시 청원구 오창읍 중심상업로 32-13,주5일근무,관계없음,22-06-07,채용시까지  22-08-02
주식회사 퓨리움,"주식회사 퓨리움 - 연구기획,SW개발,디자인직원 ...",학력무관,2500만원 ~ 4000만원,경기도 용인시 처인구 양지면 한터로 339,주5일근무,관계없음,22-06-02,22-08-01
(주)케이스랩,(주)케이스랩 하반기 자율주행 SW 엔지니어 신입...,대졸(4년),200만원 ~ 300만원,광주광역시 북구 첨단과기로208번길 6,주5일근무,신입,22-05-30,채용시까지  22-07-26
바이트댄스,[TikTok / 틱톡] Content quali...,대졸(4년),3600만원 ~ 5000만원,서울특별시 강남구 테헤란로 518,주5일근무,관계없음,22-05-26,채용시까지  22-07-25
바이트댄스,[TikTok / 틱톡] Quality Analy...,대졸(4년),3600만원 ~ 5000만원,서울특별시 강남구 테헤란로 518,주5일근무,관계없음,22-05-26,채용시까지  22-07-25
(주)아이티투게더,JAVA프로그래밍전문가/웹프로그램/응용프로그램 개...,학력무관,2900만원,대전광역시 유성구 온천로 59,주5일근무,관계없음,22-05-26,채용시까지  22-07-25
(주)한솥,(주)한솥 디지털 기획 운영팀 IT담당 경력사원 ...,학력무관,3500만원 ~ 4000만원,서울특별시 강남구 강남대로 318,주5일근무,관계없음,22-05-25,채용시까지  22-07-24
나이스지니데이타,[NICE 지니데이타] 빅데이터분석 컨설팅 신입직...,대졸(2~3년),3500만원 ~ 3800만원,서울특별시 영등포구 은행로 30,주5일근무,신입,22-05-25,채용시까지  22-07-22
나이스지니데이타,[NICE 지니데이타] 빅데이터분석 컨설팅 경력직...,대졸(4년),3800만원 ~ 4200만원,서울특별시 영등포구 은행로 30,주5일근무,경력,22-05-25,채용시까지  22-07-22
(주)지오비전,데이터 분석 및 빅데이터 기반 딥러닝 경력/석사 ...,대졸(4년),3500만원,강원도 춘천시 강원대학길 1,주5일근무,경력,22-05-23,22-07-18
브래키츠,데이터 분석 및 시각화,학력무관,2800만원 ~ 4500만원,서울특별시 영등포구 국제금융로 20,주5일근무,경력,22-05-23,채용시까지  22-07-20
사회정보연구원,(연신내 / 사회정보연구원) 연구·일반 기획 정규...,대졸(4년),200만원 ~ 210만원,서울특별시 은평구 연서로26길 8,주5일근무,관계없음,22-05-09,채용시까지  22-07-08
