,직종코드,Unnamed: 1,Unnamed: 2,Unnamed: 3
806,615201, , ,통신기기 판매원(핸드폰 판매 및 가입)
807,615202, , ,"통신서비스 판매원(인터넷,IPTV 가입)"
808,615300, , ,온라인 판매원
809,615400, , ,상품 대여원
810,615401, , ,자동차 대여원(렌터카)
811,615402, , ,"생활용품 대여원(정수기,가전제품,의복,어린이 용품)"
812,615403, , ,"기타 대여원(기계장비,오락·스포츠 용품,도서,영상)"
813,615500, , ,노점 및 이동 판매원
814,615700, , ,주유원(가스 충전원)
815,615701, , ,주유원(주유판매원)
816,615702, , ,가스 충전원
817,076, ,매장 계산 및 매표, 
818,616100, , ,매장 계산원 및 요금 정산원
819,616101, , ,매장 계산원
820,616102, , ,"요금 정산원(주차요금,통행료)"
821,616200, , ,매표원 및 복권 판매원
822,077, ,판촉 및 기타 판매 종사자, 
823,617100, , ,홍보 도우미 및 판촉원
824,617101, , ,홍보 도우미 및 판촉원(나레이터 모델 포함)
825,617102, , ,이벤트·행사 진행원
826,617900, , ,기타 판매 단순 종사원
827,617901, , ,매장 정리원(매장 보조원)
828,617902, , ,상품 진열원
829,617903, , ,쇼핑몰택배 준비원
830,617904, , ,"기타 판매 단순 종사원(전단지배포, 벽보원, 물품 보관원)"
831,078, ,항공기·선박·철도 조종 및 관제, 
832,028202, , ,철도·지하철 운송 사무원
833,028203, , ,항공 운송 사무원
834,028204, , ,수상 운송 사무원(해상 운송)
835,621100, , ,항공기 조종사
836,621200, , ,"선장, 항해사 및 도선사"
837,621300, , ,철도·전동차 기관사
838,621400, , ,"관제사(항공,선박,철도 등)"
839,621900, , ,기타 항공·철도운송종사원(항공기유도원·화물열차차장·신호수)
840,885901, , ,드론 조작원
841,079, ,자동차 운전(택시·버스·화물차·기타 자동차), 
842,028201, , ,도로 운송 사무원(배차사무 포함)
843,562300, , ,주차 관리·안내원
844,622100, , ,택시 운전원
845,622200, , ,버스 운전원
846,622201, , ,"노선버스 운전원(시내, 마을, 시외, 고속)"
847,622202, , ,관광 및 통근·통학·학원 및 기타 버스 운전원
848,622300, , ,화물차·특수차 운전원
849,622301, , ,경·소형 화물차 운전원
850,622302, , ,중·대형 화물차 운전원(트레일러 포함)
851,622303, , ,견인차·유조차·구난차·청소차 등 특수차 운전원
852,622900, , ,기타 자동차 운전원
853,622901, , ,승용차 운전원(자가용 운전원)
854,622902, , ,승합차 운전원
855,622903, , ,대리 운전원
856,622904, , ,주차 운전원
857,622905, , ,호송차량 운전원
858,622906, , ,"기타 자동차 운전원(렌터카,구급차,우편차,자동차선적 등)"
859,07A, ,물품이동장비 조작, 
860,623000, , ,물품이동장비 조작원(크레인·호이스트·지게차)
861,623001, , ,"크레인 운전원(천정,타워 제외)"
862,623002, , ,천장·타워 크레인 운전원
863,623003, , ,호이스트 운전원
864,623004, , ,지게차 운전원
865,623005, , ,리프트·케이블카 조작원
866,07B, ,택배·납품영업·선박갑판·하역 및 기타 운송, 
867,532401, , ,음식 배달원
868,532402, , ,패스트푸드 배달원
869,624100, , ,택배원
870,624101, , ,일반 택배원(퀵서비스 포함)
871,624102, , ,지하철 택배원
872,624103, , ,배송·납품 운전원(납품영업 포함)
873,624200, , ,우편물 집배원
874,624300, , ,선박 갑판원 및 관련 종사원
875,624401, , ,하역·적재 종사원
876,624402, , ,물건·이삿짐 운반원
877,624900, , ,신문·음료(우유·요구르트 등) 기타 배달원
878,08,건설·채굴, , 
879,081, ,건설구조 기능(철골·철근·석공·목공·조적 등), 
880,701100, , ,철골공(강구조물 건립원)
881,701200, , ,"경량철골공(석고보드공,텍스공,조립주택 건립원)"
882,701300, , ,철근공
883,701401, , ,콘크리트공
884,701402, , ,콘크리트건물·피시 조립원
885,701500, , ,건축 석공
886,701600, , ,건축 목공
887,701601, , ,형틀 목공(거푸집 설치공)
888,701602, , ,외장 목공(목조주택 건립)
889,701603, , ,"내장 목공(인테리어 목공 - 나무창호, 주방가구, 싱크대, 인테리어 치장)"
890,701604, , ,전통 건축원
891,701700, , ,조적공 및 석재 부설공
892,701900, , ,기타 건설 구조 기능원
893,701901, , ,건설현장반장
894,701902, , ,비계공
895,701903, , ,건물칸막이 설치원
896,701904, , ,"기타 건설 기능원(건물해체,정화조설치,방음벽설치 등)"
897,082, ,건축마감 기능(미장·단열·도배·새시·영선 등), 
898,702100, , ,미장공
899,702200, , ,방수공
900,702300, , ,단열공
901,702400, , ,바닥재 시공원
902,702401, , ,타일·대리석 시공원
903,702402, , ,장판·카펫 시공원
904,702500, , ,도배공 및 유리 부착원
905,702501, , ,도배공
906,702502, , ,유리 부착원(유리공)
907,702600, , ,건물 도장공
908,702701, , ,새시 조립·설치원
909,702702, , ,새시 보조원(견습공)
910,702900, , ,기타 건축 마감 기능원
911,702901, , ,건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외)
912,702902, , ,지붕잇기원 등 기타 건축 마감 기능원
913,083, ,배관, 
914,703100, , ,건설 배관공
915,703101, , ,"건축 배관공(옥내급수관,상하수배관,위생 배관)"
916,703102, , ,가스 배관공(가스관 설치원)
917,703200, , ,"공업 배관공(플랜트,항공,선박,철도차량)"
918,703900, , ,기타 배관공
919,703901, , ,기타 배관공(배관누수 탐지원)
920,703902, , ,배관 보조원
921,824100, , ,용접원
922,084, ,건설·채굴 기계 운전, 
923,623001, , ,"크레인 운전원(천정,타워 제외)"
924,623002, , ,천장·타워 크레인 운전원
925,704000, , ,건설·채굴 기계 운전원
926,704001, , ,"굴착기(굴삭기,포클레인) 운전원"
927,704002, , ,로더 운전원(페이로더 운전원)
928,704003, , ,레미콘 차량 운전원(콘크리트 믹서 트럭)
929,704004, , ,"도로정지기, 덤프트럭 등 기타 건설·채굴 기계 운전원"
930,704005, , ,농림어업 기계 운전원
